"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","cell_type"
"30392","MS4A1",0,8.94081385076717,0.975,0.008,0,19,"MS4A1","B"
"30393","CD79A.1",0,5.12985716761422,0.934,0.041,0,19,"CD79A","B"
"30417","IRF8.3",0,3.21619701699284,0.641,0.129,0,19,"IRF8","DCs"
"30410","HLA-DRA.12",0,1.78340617276468,0.994,0.443,0,19,"HLA-DRA","Myeloid"
"30420","CXCR4.13",0,1.59371101909926,0.929,0.426,0,19,"CXCR4","B"
"30485","CD69.4",1.82759542630142e-191,1.36700636396835,0.636,0.23,4.51982624878605e-187,19,"CD69","T_NK"
"30671","KRT18.7",3.25651446299023e-68,-5.0106622015399,0.041,0.297,8.05368591842114e-64,19,"KRT18","Epithelial"
"30668","KRT8.9",1.38438605226733e-68,-5.28761816222122,0.029,0.285,3.42372514586233e-64,19,"KRT8","Epithelial"
"30507","LYZ.16",1.03250363625174e-149,-6.42509568150876,0.069,0.504,2.55348474281418e-145,19,"LYZ","Myeloid"
"29247","APOE.4",0,3.67506854918826,0.757,0.203,0,18,"APOE","Fibroblasts"
"29253","C1QA.3",0,2.97857049277256,0.515,0.125,0,18,"C1QA","Myeloid"
"29250","HLA-DRA.11",0,2.06660060278125,0.927,0.445,0,18,"HLA-DRA","Myeloid"
"29269","LYZ.15",2.67161299374201e-191,1.70691000693999,0.826,0.489,6.60716609482336e-187,18,"LYZ","Myeloid"
"29633","KRT8.8",1.68288579504937e-65,-3.51910235671251,0.033,0.285,4.1619448597366e-61,18,"KRT8","Epithelial"
"29564","KRT18.6",2.31735160406054e-68,-3.7121245286107,0.037,0.297,5.73104225200211e-64,18,"KRT18","Epithelial"
"29464","KRT19.9",2.87157866672261e-74,-4.49348277460982,0.044,0.319,7.10170120067169e-70,18,"KRT19","Epithelial"
"26964","PRSS1",0,11.2791323173231,0.999,0.07,0,17,"PRSS1","Epithelial"
"26961","CTRB2",0,8.63604770126171,0.985,0.024,0,17,"CTRB2","Epithelial"
"26963","REG1A",0,8.46783048086812,0.989,0.054,0,17,"REG1A","Epithelial"
"26970","SPINK1.2",0,4.8550250972766,0.994,0.197,0,17,"SPINK1","Epithelial"
"28800","KRT19.8",8.55337454272273e-75,-4.67127343331309,0.051,0.319,2.11533505816076e-70,17,"KRT19","Epithelial"
"27397","CXCR4.12",1.40843914948988e-144,-5.05299745475683,0.02,0.445,3.48321086060341e-140,17,"CXCR4","B"
"27442","LYZ.14",1.14397538389439e-138,-5.06228915041206,0.1,0.504,2.82916552190921e-134,17,"LYZ","Myeloid"
